step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
21,magnetic_moment,32,dielectric_electronic,0.8080929070151724,0.2628740635438783,815,0.8080929070151724,,,
21,magnetic_moment,32,magnetization,0.7093688048694851,0.3700917246376745,244,0.7093688048694851,,,
21,magnetic_moment,32,curie,0.6130909177421272,0.4442227041886472,1424,0.6130909177421272,,,
21,magnetic_moment,32,neel,0.5577838646133613,0.47845856034102663,857,0.5577838646133613,,,
21,magnetic_moment,32,kp,0.5090920248916981,0.507764022170796,1045,0.5090920248916981,,,
21,magnetic_moment,32,magnetic_susceptibility,0.013198719415251747,0.3434197218710204,20,0.013198719415251747,6000.0,,
21,magnetic_moment,32,zt,0.5526130215843008,0.506953300124356,774,0.5526130215843008,232200.0,,
21,magnetic_moment,32,power_factor,0.5757370502395127,0.48432209377564284,802,0.5757370502395127,240600.0,,
21,magnetic_moment,32,thermal_conductivity,0.5425954624315492,0.4881166534263888,937,0.5425954624315492,281100.0,,
21,magnetic_moment,32,electrical_resistivity,0.07199534828109933,0.46171984375019054,1105,0.07199534828109933,331500.0,,
21,magnetic_moment,32,dos_density,0.42600857583587215,0.13965508029765483,1714,0.42600857583587215,514200.0,,
21,magnetic_moment,32,seebeck,0.47784920886251014,0.4979014235388995,1856,0.47784920886251014,556800.0,,
21,magnetic_moment,32,formation_energy,0.9036703514921877,0.2354376315821718,5386,0.9036703514921877,,,
21,magnetic_moment,32,magnetic_moment,0.46566478238014597,0.5809368256617007,200,0.46566478238014597,,,
22,tc,59,density,0.9648243996161932,0.13915622614289097,5414,0.9648243996161932,,,
22,tc,59,efermi,0.8572795874140002,0.28049641527498714,5412,0.8572795874140002,,,
22,tc,59,final_energy,0.3422825599464593,0.5804166829820971,5414,0.3422825599464593,,,
22,tc,59,total_magnetization,0.4460549557061303,0.47906121194089124,5414,0.4460549557061303,,,
22,tc,59,volume,0.2780758927011058,0.6862013940338441,5414,0.2780758927011058,,,
22,tc,59,dielectric_total,0.5793526026516798,0.47437984540609374,816,0.5793526026516798,,,
22,tc,59,dielectric_ionic,0.538190843583107,0.5108866297567719,816,0.538190843583107,,,
22,tc,59,dielectric_electronic,0.806244989729282,0.25638344458140966,816,0.806244989729282,,,
22,tc,59,magnetization,0.6919015570788085,0.3741397131361315,245,0.6919015570788085,,,
22,tc,59,curie,0.6024705617102428,0.4321585048728687,1431,0.6024705617102428,,,
22,tc,59,neel,0.5852318093284481,0.4638629363267185,867,0.5852318093284481,,,
22,tc,59,kp,0.5564102136004205,0.4894301636513481,1054,0.5564102136004205,,,
22,tc,59,magnetic_susceptibility,-0.053840536931846206,0.35751729554586076,20,-0.053840536931846206,6000.0,,
22,tc,59,zt,0.5681043014128513,0.48201760221599665,780,0.5681043014128513,234000.0,,
22,tc,59,power_factor,0.5813866405431867,0.49087481677035794,807,0.5813866405431867,242100.0,,
22,tc,59,thermal_conductivity,0.5687075439839564,0.47212934677108603,948,0.5687075439839564,284400.0,,
22,tc,59,electrical_resistivity,0.03176773557496437,0.424076013334804,1120,0.03176773557496437,336000.0,,
22,tc,59,dos_density,0.42045694031393444,0.13840037345331105,1736,0.42045694031393444,520800.0,,
22,tc,59,seebeck,0.4303931754803806,0.515218290107434,1888,0.4303931754803806,566400.0,,
22,tc,59,formation_energy,0.9224979142892683,0.2082523218531402,5414,0.9224979142892683,,,
22,tc,59,magnetic_moment,0.5235804371272814,0.5369733856903739,200,0.5235804371272814,,,
22,tc,59,tc,0.7472194885094738,0.337013701672717,1640,0.7472194885094738,,,
23,klat,42,density,0.9604971275008247,0.1486753394470966,5414,0.9604971275008247,,,
23,klat,42,efermi,0.8552938669146657,0.27384570932341695,5412,0.8552938669146657,,,
23,klat,42,final_energy,0.37604197778056225,0.5623290314934458,5414,0.37604197778056225,,,
23,klat,42,total_magnetization,0.38368652553092597,0.557648339374552,5414,0.38368652553092597,,,
23,klat,42,volume,0.3299371925862945,0.6741989226190808,5414,0.3299371925862945,,,
23,klat,42,dielectric_total,0.5968123463302368,0.4522628039312637,816,0.5968123463302368,,,
23,klat,42,dielectric_ionic,0.5003364817116656,0.5176857287539379,816,0.5003364817116656,,,
23,klat,42,dielectric_electronic,0.7832655632410369,0.2617859306354767,816,0.7832655632410369,,,
23,klat,42,magnetization,0.7058489568507255,0.3729705565521183,245,0.7058489568507255,,,
23,klat,42,curie,0.6365317808564527,0.42083296810324744,1431,0.6365317808564527,,,
23,klat,42,neel,0.5986181427583928,0.4586834286731151,867,0.5986181427583928,,,
23,klat,42,kp,0.5684037889848745,0.48262554413729136,1054,0.5684037889848745,,,
23,klat,42,magnetic_susceptibility,-0.06751496290726844,0.3655331471027067,20,-0.06751496290726844,6000.0,,
23,klat,42,zt,0.5573170785707237,0.48422053638356527,780,0.5573170785707237,234000.0,,
23,klat,42,power_factor,0.5926199529814771,0.47674613367336083,807,0.5926199529814771,242100.0,,
23,klat,42,thermal_conductivity,0.5639225054219276,0.47238749132595453,948,0.5639225054219276,284400.0,,
23,klat,42,electrical_resistivity,0.07735128422207016,0.41166417456045834,1120,0.07735128422207016,336000.0,,
23,klat,42,dos_density,0.43053555020924006,0.13593420543307105,1736,0.43053555020924006,520800.0,,
23,klat,42,seebeck,0.3956283039755366,0.5410100657550607,1888,0.3956283039755366,566400.0,,
23,klat,42,formation_energy,0.9315695659640155,0.19749298061769202,5414,0.9315695659640155,,,
23,klat,42,magnetic_moment,0.5167626803223877,0.5446786300562032,200,0.5167626803223877,,,
23,klat,42,tc,0.6950946501026587,0.3978199876285574,1640,0.6950946501026587,,,
23,klat,42,klat,0.6519295539923958,0.43307892476212884,1054,0.6519295539923958,,,
24,material_type,46,density,0.9583241129513957,0.15463994313344687,5414,0.9583241129513957,,,
24,material_type,46,efermi,0.8498834386115279,0.28480327894215945,5412,0.8498834386115279,,,
24,material_type,46,final_energy,0.396819159655332,0.5404585337775555,5414,0.396819159655332,,,
24,material_type,46,total_magnetization,0.45891521692223247,0.4929553593977082,5414,0.45891521692223247,,,
24,material_type,46,volume,0.3165155704063253,0.6770606671241155,5414,0.3165155704063253,,,
24,material_type,46,dielectric_total,0.5999924149035838,0.4519733208010461,816,0.5999924149035838,,,
24,material_type,46,dielectric_ionic,0.5423809983285715,0.5007971206169055,816,0.5423809983285715,,,
24,material_type,46,dielectric_electronic,0.7998962438551116,0.2537905127152081,816,0.7998962438551116,,,
24,material_type,46,magnetization,0.7258663205453577,0.34929568361903274,245,0.7258663205453577,,,
24,material_type,46,curie,0.6366651170659727,0.4071195228634798,1431,0.6366651170659727,,,
